Date,PAYEMS,OPHNFB,PNFI
1980-01-01,90892.33,90892.330,404.49
1980-04-01,90456.67,90456.670,394.68
1980-07-01,90050.67,90050.670,405.72
1980-10-01,90726.67,90726.670,422.76
1981-01-01,91116,91116.000,443.03
1981-04-01,91356.33,91356.330,462.86
1981-07-01,91547.67,91547.670,482.11
1981-10-01,91148.67,91148.670,503.76
1982-01-01,90520.67,90520.670,500.08
1982-04-01,90040.67,90040.670,490.07
1982-07-01,89355.67,89355.670,478.72
1982-10-01,88821.33,88821.330,471.52
1983-01-01,88999,88999.000,462.11
1983-04-01,89676.33,89676.330,466.46
1983-07-01,90604.33,90604.330,485.37
1983-10-01,91875,91875.000,514.69
1984-01-01,93086.33,93086.330,531.47
1984-04-01,94123,94123.000,558.27
1984-07-01,95055,95055.000,576.64
1984-10-01,95906,95906.000,590.9
1985-01-01,96572.33,96572.330,599.42
1985-04-01,97269.67,97269.670,609.09
1985-07-01,97844.33,97844.330,604.43
1985-10-01,98428.33,98428.330,618.07
1986-01-01,98837.67,98837.670,613.53
1986-04-01,99174.67,99174.670,605.02
1986-07-01,99665,99665.000,601.96
1986-10-01,100312.67,100312.670,610.55
1987-01-01,100920.33,100920.330,596.55
1987-04-01,101709,101709.000,608.37
1987-07-01,102438,102438.000,625.48
1987-10-01,103390.33,103390.330,630.55
1988-01-01,104152,104152.000,641.5
1988-04-01,105006.67,105006.670,659.37
1988-07-01,105745.67,105745.670,666.33
1988-10-01,106597,106597.000,681.92
1989-01-01,107403,107403.000,696.47
1989-04-01,107910.33,107910.330,709
1989-07-01,108186,108186.000,731.14
1989-10-01,108688,108688.000,727.37
1990-01-01,109424,109424.000,740.88
1990-04-01,109784,109784.000,734.12
1990-07-01,109648,109648.000,744.41
1990-10-01,109255.67,109255.670,737.52
1991-01-01,108787,108787.000,729.8
1991-04-01,108311,108311.000,726.79
1991-07-01,108308,108308.000,720.15
1991-10-01,108330.33,108330.330,717.6
1992-01-01,108348.33,108348.330,714.21
1992-04-01,108623.67,108623.670,736.72
1992-07-01,108886.67,108886.670,748.54
1992-10-01,109307.67,109307.670,768.29
1993-01-01,109947.33,109947.330,776.49
1993-04-01,110537.67,110537.670,792.37
1993-07-01,111234.33,111234.330,798.32
1993-10-01,112015.33,112015.330,829.64
1994-01-01,112876,112876.000,840.72
1994-04-01,113916.67,113916.670,855.61
1994-07-01,114919.33,114919.330,872.1
1994-10-01,115832.67,115832.670,906.99
1995-01-01,116702.33,116702.330,944.62
1995-04-01,117134.33,117134.330,956.78
1995-07-01,117633.67,117633.670,965.53
1995-10-01,118172,118172.000,982.06
1996-01-01,118682,118682.000,1003.75
1996-04-01,119474.67,119474.670,1026.47
1996-07-01,120205.67,120205.670,1058.97
1996-10-01,120918.33,120918.330,1083.6
1997-01-01,121674,121674.000,1107.3
1997-04-01,122554.67,122554.670,1129.57
1997-07-01,123258.33,123258.330,1178.36
1997-10-01,124233,124233.000,1181.12
1998-01-01,124996,124996.000,1212.38
1998-04-01,125789.33,125789.330,1247.1
1998-07-01,126500.33,126500.330,1261.65
1998-10-01,127255.33,127255.330,1295.44
1999-01-01,128017,128017.000,1322.31
1999-04-01,128831,128831.000,1353.96
1999-07-01,129588.33,129588.330,1386.59
1999-10-01,130476,130476.000,1395.05
2000-01-01,131245.33,131245.330,1450.25
2000-04-01,132016.67,132016.670,1498.73
2000-07-01,132266.67,132266.670,1519.66
2000-10-01,132541.33,132541.330,1525.09
2001-01-01,132747.33,132747.330,1505.25
2001-04-01,132388.33,132388.330,1473.59
2001-07-01,131985,131985.000,1452.58
2001-10-01,131193,131193.000,1408.86
2002-01-01,130772.33,130772.330,1374.03
2002-04-01,130640,130640.000,1357.27
2002-07-01,130556,130556.000,1348.88
2002-10-01,130566,130566.000,1331.22
2003-01-01,130416.33,130416.330,1332.7
2003-04-01,130184.33,130184.330,1366.84
2003-07-01,130196.67,130196.670,1392.12
2003-10-01,130503.33,130503.330,1411.86
2004-01-01,130905,130905.000,1401.83
2004-04-01,131634.33,131634.330,1445.46
2004-07-01,131961.33,131961.330,1490.5
